Date,Longitude,Latitude,Wind speed,Air temperature,SST,RH,P,Rs,zu,zt
20071111,325.10468,-5.3519006,8.051316,25.897593,26.659426,77.59613,1008.73785,152.2538,15.0,20.0
20071111,255.68607,19.055489,3.5873835,27.76576,29.84638,67.24156,1007.5508,564.84863,19.799999237060547,19.799999237060547
20071112,255.68607,19.05549,2.499553,27.706491,29.645706,69.593346,1009.8873,649.4689,10.300000190734863,10.300000190734863
20071112,324.79443,-5.772975,2.8844652,26.638895,27.607517,70.83041,1010.3432,461.90488,19.799999237060547,19.799999237060547
20071113,255.61482,17.929354,2.5238855,27.059687,28.329554,71.95906,1008.46027,447.29062,10.300000190734863,10.300000190734863
20071113,324.79443,-5.7729726,3.7206814,26.076027,27.715601,77.41254,1010.3092,305.31805,19.799999237060547,19.799999237060547
20071114,255.62802,14.982453,4.8927417,27.361763,28.825586,69.920746,1008.0944,224.7706,10.300000190734863,10.300000190734863
20071114,324.7944,-5.772997,3.6403103,26.545345,27.728392,74.30124,1011.4062,245.84636,15.0,20.0
20071115,255.7638,10.192389,8.967486,27.15379,27.674212,77.57835,1006.51263,176.41908,19.799999237060547,19.799999237060547
20071115,324.7944,-5.772998,3.7814481,26.500277,27.779436,74.762215,1011.3963,236.12643,10.300000190734863,10.300000190734863
20071116,255.70879,9.832767,8.225083,26.999037,27.531048,78.46078,1007.3884,241.37482,19.799999237060547,19.799999237060547
20071116,325.15424,-5.954495,6.969661,26.05928,27.083113,75.7906,1011.22906,231.82677,15.0,20.0
20071117,255.7215,9.808155,9.245664,26.913057,27.385378,76.841965,1007.8101,156.02,19.799999237060547,19.799999237060547
20071117,327.54797,-8.4709425,8.209146,25.555779,26.421349,73.76949,1011.66266,226.24734,19.799999237060547,19.799999237060547
20071118,255.70885,9.837933,7.1690807,26.589073,27.370756,76.20957,1006.83453,234.37688,10.300000190734863,10.300000190734863
20071118,330.00095,-10.998568,7.041747,24.72017,25.977484,70.92692,1011.9214,222.2309,19.799999237060547,19.799999237060547
20071119,332.50732,-11.250843,7.3816905,24.395153,25.445108,80.21521,1012.18463,209.85184,15.0,20.0
20071120,255.59988,9.474953,6.588062,26.977545,27.378185,76.50877,1007.53125,216.37953,10.300000190734863,10.300000190734863
